Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1000350-88250780,gpsku empty,IC-P-2003-000001,8700S03,
 1000411-55889610,gpsku empty,IC-P-2003-000003,8740S03,
 1000465-72604559,gpsku empty,IC-P-2003-000017,8705S03,
 1000723-97384187,gpsku empty,IC-P-2003-000017,8705S03,
 1001226-25534524,gpsku empty,IC-P-1999-000001,8700S99,
 1001370-1092161,Cannot find PD-W-CT-P-2005-000003,,,
 1001371-1092161,Cannot find PD-W-CT-P-2005-000003,,,
 1001375-1092161,Cannot find PD-W-CT-P-2005-000003,,,
 1001494-80715836,Cannot find PD-W-FL-P-2004-000016,,,
 1001501-79213425,gpsku empty,FL-P-2004-000001,8700SFL04,
 1001643-74469210,Cannot find PD-W-FL-P-2004-000011,,,
 1001748-41515928,Cannot find PD-W-CT-P-2005-000003,,,
 1001889-79204840,Cannot find PD-W-FL-P-2004-000011,,,
 1001979-4125459,Cannot find PD-W-CT-P-2005-000003,,,
 1002101-5993759,gpsku empty,IC-P-1996-000002,8700S96,
 1002150-47193185,gpsku empty,IC-P-1999-000001,8700S99,
 1002211-99470343,Cannot find PD-W-FL-P-2004-000016,,,
 1002257-72742449,Cannot find PD-W-FL-P-2004-000011,,,
 1002331-6696238,Cannot find PD-W-FL-P-2004-000016,,,
 1002333-6696238,Cannot find PD-W-FL-P-2004-000011,,,
 1002369-21613406,Cannot find PD-W-FL-P-2004-000011,,,
 1002474-53867127,gpsku empty,IC-P-1996-000002,8700S96,
 1002512-75750341,Cannot find PD-W-FL-P-2004-000011,,,
 1002520-39945068,Cannot find PD-W-FL-P-2004-000016,,,
 1002540-64677870,Cannot find PD-W-FL-P-2004-000016,,,
 1002545-42149889,Cannot find PD-W-IC-P-2000-000014,,,
 1002557-90278830,Cannot find PD-W-FL-P-2004-000011,,,
 1002626-63842662,Cannot find PD-W-CT-P-2005-000003,,,
 1002649-79180017,Cannot find PD-W-PR-P-2003-0000007,,,
 1002652-8003716,Cannot find PD-W-FL-P-2004-000010,,,
 1002702-91929049,Cannot find PD-W-CT-P-2005-000003,,,
 1002805-86057144,Cannot find PD-W-FL-P-2004-000011,,,
 1002865-77904828,Cannot find PD-W-IC-P-2000-000014,,,
 1002937-11402216,Cannot find PD-W-FL-P-2004-000016,,,
 1002939-11402216,Cannot find PD-W-FL-P-2004-000011,,,
 1002941-80346784,gpsku empty,IC-P-1995-000001,8710S95,
 1002972-76968178,Cannot find PD-W-FL-P-2004-000016,,,
 1002999-21223611,Cannot find PD-W-IC-P-2000-000014,,,
 1003018-32478846,Cannot find PD-W-IC-P-2000-000014,,,
 1003195-99961996,Cannot find PD-W-FL-P-2004-000016,,,
 1003201-50650559,gpsku empty,NC-P-2002-000011,8710SNC02,
 1003297-24151610,Cannot find PD-W-FL-P-2004-000016,,,
 1003300-39648707,Cannot find PD-W-CT-P-2005-000003,,,
 1003342-25079916,Cannot find PD-W-FL-P-2004-000016,,,
 1003381-79269821,Cannot find PD-W-FL-P-2004-000010,,,
 1003388-11067347,Cannot find PD-W-CT-P-2005-000003,,,
 1003447-13176058,Cannot find PD-W-CT-P-2005-000003,,,
 1003631-63919867,Cannot find PD-W-FL-P-2004-000011,,,
 1003730-17056991,Cannot find PD-W-IC-P-2000-000014,,,
 1003731-17056991,Cannot find PD-W-IC-P-2000-000014,,,
 1003741-18225968,Cannot find PD-W-IC-P-2000-000014,,,
 1003858-56027798,Cannot find PD-W-FL-P-2004-000011,,,
 1003872-15106646,Cannot find PD-W-FL-P-2004-000011,,,
 1003873-77104036,Cannot find PD-W-PR-P-2003-0000007,,,
 1004015-55054802,Cannot find PD-W-CT-P-2005-000003,,,
 1004052-30303019,Cannot find PD-W-IC-P-2000-000014,,,
 1004097-15354602,Cannot find PD-W-IC-P-2000-000014,,,
 1004143-17093526,Cannot find PD-W-CT-P-2005-000003,,,
 1004182-64049731,gpsku empty,IC-P-2006-000001,8700S06,
 1004186-23334468,Cannot find PD-W-IC-P-2000-000014,,,
 1004322-12409931,Cannot find PD-W-FL-P-2004-000016,,,
 1004339-37570245,Cannot find PD-W-IC-P-2000-000014,,,
 1004369-35763068,Cannot find PD-W-FL-P-2004-000016,,,
 1004398-88658671,Cannot find PD-W-FL-P-2004-000011,,,
 1004435-68663620,Cannot find PD-W-FL-P-2004-000016,,,
 1004446-18678765,Cannot find PD-W-CT-P-2005-000003,,,
 1004651-22514428,Cannot find PD-W-FL-P-2004-000011,,,
 1004668-42434346,Cannot find PD-W-IC-P-2000-000014,,,
 1004685-86313521,Cannot find PD-M-FL-P-2004-000011,,,
 1004855-44933849,Cannot find PD-W-FL-P-2004-000016,,,
 1004872-46138357,Cannot find PD-W-CT-P-2005-000003,,,
 1004933-78940861,Cannot find PD-W-FL-P-2004-000011,,,
 1004983-78688048,gpsku empty,IC-P-2003-000002,8710S03,
 1005045-97564252,Cannot find PD-M-FL-P-2004-000011,,,
 1005093-17874150,gpsku empty,IC-P-2003-000016,8722S03,
 1005124-32834208,Cannot find PD-W-CT-P-2005-000003,,,
 1005177-17794090,Cannot find PD-M-FL-P-2004-000011,,,
 1005265-44826215,Cannot find PD-W-MI-P-2003-000014,,,
 1005295-45418320,gpsku empty,IC-P-2003-000016,8722S03,
 1005309-59049941,gpsku empty,FL-P-2004-000011,8705SFL04,
 1005520-42226963,gpsku empty,FL-P-2004-000002,8710SFL04,
 1005534-83744884,Cannot find PD-M-FL-P-2004-000011,,,
 1005536-22069389,Cannot find PD-W-PR-P-2003-0000007,,,
 1005544-29514193,Cannot find PD-M-MI-P-2003-000014,,,
 1005621-91072624,Cannot find PD-W-FL-P-2004-000011,,,
 1005662-19212640,Cannot find PD-W-IC-P-2000-000014,,,
 1005683-31917076,Cannot find PD-W-FL-P-2004-000011,,,
 1005731-63999488,Cannot find PD-W-CT-P-2005-000003,,,
 1005748-42137159,Cannot find PD-W-CT-P-2005-000003,,,
 1005781-79076563,Cannot find PD-W-CT-P-2005-000003,,,
 1005787-31048547,Cannot find PD-W-FL-P-2004-000011,,,
 1005809-71987887,Cannot find PD-W-FL-P-2004-000011,,,
 1005847-34638869,Cannot find PD-M-CT-P-2005-000003,,,
 1005942-28329720,gpsku empty,IC-P-2006-000001,8700S06,
 1005978-11970927,Cannot find PD-W-MI-P-2003-000014,,,
 1006008-69129282,Cannot find PD-W-FL-P-2004-000011,,,
 1006192-71090302,Cannot find PD-W-CT-P-2005-000003,,,
 1006336-48505262,gpsku empty,IC-P-2006-000001,8700S06,
 1006461-54461741,Cannot find PD-W-PR-P-2003-0000007,,,
 1006467-59261908,gpsku empty,IC-P-1996-000001,8730S96,
 1006529-14086567,Cannot find PD-W-FL-P-2004-000011,,,
 1006577-32408880,Cannot find PD-W-PR-P-2003-0000007,,,
 1006585-52664901,gpsku empty,IC-P-2003-000002,8710S03,
 1006624-65199737,Cannot find PD-W-FL-P-2004-000011,,,
 1006684-35096723,Cannot find PD-W-CT-P-2005-000003,,,
 1006690-78714690,Cannot find PD-M-FL-P-2004-000011,,,
 1006792-41929467,Cannot find PD-W-FL-P-2004-000011,,,
 1006808-54425987,Cannot find PD-W-FL-P-2004-000013,,,
 1007126-57172588,gpsku empty,IC-P-2003-000016,8722S03,
 1007185-38963469,Cannot find PD-W-CT-P-2005-000003,,,
 1007252-98080155,gpsku empty,FL-P-2004-000011,8705SFL04,
 1007253-98080155,gpsku empty,FL-P-2004-000011,8705SFL04,
 1007420-64928061,Cannot find PD-W-CT-P-2005-000003,,,
 1007427-83340488,Cannot find PD-W-FS-P-2000-000001,,,
 1007447-76786299,Cannot find PD-W-MI-P-2003-000014,,,
 1007495-54228276,Cannot find PD-W-FL-P-2004-000011,,,
 1007532-12145457,Cannot find PD-W-CT-P-2005-000003,,,
 1007550-89683808,Cannot find PD-W-FL-P-2004-000016,,,
 1007731-46287778,Cannot find PD-W-MI-P-2003-000014,,,
 1007778-15415861,gpsku empty,WI-2003-000001,8700SWI03,
 1007822-95187875,gpsku empty,SC-P-2003-000002,8710SSC06,
 1007831-38585561,Cannot find PD-W-FL-P-2004-000011,,,
 1007914-77411920,gpsku empty,IC-P-2006-000002,8710S06,
 1007960-64192721,Cannot find PD-W-CT-P-2005-000003,,,
 1008002-76742729,Cannot find PD-W-FL-P-2004-000011,,,
 1008033-88889055,gpsku empty,IC-P-2006-000019,8705S06,
 1008089-20763909,Cannot find PD-W-FL-P-2004-000011,,,
 1008097-29652433,Cannot find PD-W-CT-P-2005-000003,,,
 1008121-40317396,Cannot find PD-W-PR-P-2006-000007,,,
 1008122-40317396,Cannot find PD-W-PR-P-2006-000007,,,
 1008227-83309429,Cannot find PD-W-FS-P-2000-000001,,,
 1008228-83309429,Cannot find PD-W-FS-P-2000-000001,,,
 1008230-54858594,gpsku empty,IC-P-2006-000019,8705S06,
 1008268-20168082,Cannot find PD-W-MI-P-2003-000014,,,
 1008425-44207172,Cannot find PD-W-FL-P-2004-000011,,,
 1008452-52909627,Cannot find PD-W-CT-P-2005-000003,,,
 1008611-78807747,gpsku empty,CA-P-2007-000006,8740SCA07,
 1008682-46579372,Cannot find PD-W-PR-P-2006-000007,,,
 1008940-54525933,gpsku empty,IC-P-2006-000019,8705S06,
 1008959-98069078,Cannot find PD-W-CT-P-2005-000003,,,
 1008960-36254286,Cannot find PD-W-MI-P-2003-000014,,,
 1009028-95598620,Cannot find PD-W-CT-P-2005-000003,,,
 1009465-46601724,gpsku mismatch,PD-M-CO-T-2008-000001,8808P06,8809P06
